공고명,회사명,URL
Technical Program Manager · AI Platform,루닛(Lunit),https://www.wanted.co.kr/wd/257367
AI 스타트업 물류 서비스 기획자,아로아랩스,https://www.wanted.co.kr/wd/255555
"AI변호사, 리걸테크 연구원",채권도시,https://www.wanted.co.kr/wd/257542
CX Operator,에임(AIM),https://www.wanted.co.kr/wd/63129
[Global AI Startup] Frontend Engineer,마크비전코리아,https://www.wanted.co.kr/wd/244310
SW개발팀 AI Leader 및 AI 개발,디오,https://www.wanted.co.kr/wd/253987
AI Model Production (LLM),업스테이지,https://www.wanted.co.kr/wd/237208
인허가 (Regulatory Affairs) 담당,스카이랩스(SkyLabs),https://www.wanted.co.kr/wd/216442
AI 프로덕트 마케터(4년차 이상),드래프타입,https://www.wanted.co.kr/wd/219680
(전문연구요원 가능) AI 컴파일러 엔지니어,에너자이(ENERZAi),https://www.wanted.co.kr/wd/110132
QA Manager,에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/250411
＜PJ_Youkai＞ Server,보이저,https://www.wanted.co.kr/wd/255282
[AI반도체] System Software Engineer,모빌린트,https://www.wanted.co.kr/wd/147523
AI (딥러닝) 연구 및 개발자,안티그래비티,https://www.wanted.co.kr/wd/143273
Electrical Engineer (전문연구요원 가능),에니아이(Aniai),https://www.wanted.co.kr/wd/178837
AI Model Development Strategy Manager,업스테이지,https://www.wanted.co.kr/wd/237214
"AI 에이전트 핵심 개발자 - LLM, API, RPA 연동 전문가",싸이버로지텍,https://www.wanted.co.kr/wd/271338
약물개발 프로세스 자동화 및 최적화 AI 연구원,보로노이,https://www.wanted.co.kr/wd/271328
[미리디] AI Engineer (Platform),미리디,https://www.wanted.co.kr/wd/271291
AI 서비스 기획자,크리에이츠,https://www.wanted.co.kr/wd/271266
AI 엔지니어 시니어,한국딥러닝,https://www.wanted.co.kr/wd/271190
AI기획팀 AI 상품 기획자,헥토,https://www.wanted.co.kr/wd/271115
교육콘텐츠/AI프로덕트 기획자 (신입),위버스마인드,https://www.wanted.co.kr/wd/271090
AIoT앱/디바이스 담당 엔지니어 (신입~5년/중국어 가능자),아카라라이프,https://www.wanted.co.kr/wd/271077
AIoT 플랫폼 앱/서버 기술지원 (7년~15년),아카라라이프,https://www.wanted.co.kr/wd/271079
[AI Lab 제품기획팀] Product Manager,모아데이타,https://www.wanted.co.kr/wd/270983
Lead AI Engineer,엔젤스윙,https://www.wanted.co.kr/wd/270955
[SDx] Machine Learning Engineer - 스마트팩토리 AI Researcher,현대오토에버,https://www.wanted.co.kr/wd/270934
[IVI] Backend Developer - AI agent 개발/운영,현대오토에버,https://www.wanted.co.kr/wd/270859
백엔드 개발자 (AI/LLM 서비스),스마트마인드,https://www.wanted.co.kr/wd/251911
[EnIT] Backend Developer - 생성형 AI 서비스 기획/개발,현대오토에버,https://www.wanted.co.kr/wd/270825
[SDx] Backend Developer - 비전 AI 모델 개발,현대오토에버,https://www.wanted.co.kr/wd/270791
[Tech] Machine Learning Engineer - AI 데이터 사이언티스트,현대오토에버,https://www.wanted.co.kr/wd/270752
[Tech] Machine Learning Engineer - AI 컴퓨터 비전 기술 개발,현대오토에버,https://www.wanted.co.kr/wd/270754
[Tech] Machine Learning Engineer - AI Researcher,현대오토에버,https://www.wanted.co.kr/wd/270743
[Tech] Machine Learning Engineer - MLOps / AI 검색 엔지니어,현대오토에버,https://www.wanted.co.kr/wd/270750
[Tech] Machine Learning Engineer - AI 서비스 개발_대화/언어 서비스,현대오토에버,https://www.wanted.co.kr/wd/270748
AI 엔지니어 (5년이하),지니파이,https://www.wanted.co.kr/wd/270773
AI 솔루션 개발 팀장,한국딥러닝,https://www.wanted.co.kr/wd/270767
"머신러닝,AI 개발자",아티스트유나이티드,https://www.wanted.co.kr/wd/270717
AI Researcher / Engineer,퍼스트해빗,https://www.wanted.co.kr/wd/270562
LLM Project Manager (1~4Y),올거나이즈코리아(Allganize Korea),https://www.wanted.co.kr/wd/270566
스마트자동화시스템사업부 설비유지보수(Maintenance),유진로봇,https://www.wanted.co.kr/wd/270529
마곡/파견 AI Data Manager(PM),셀렉트스타,https://www.wanted.co.kr/wd/270516
AI 엔지니어 (CV 엔지니어),에이블제이,https://www.wanted.co.kr/wd/270339
AI 인셉션팀 영업 담당자,마키나락스,https://www.wanted.co.kr/wd/223456
Thailand Marketing & Ecommerce Sales Manager,달바글로벌,https://www.wanted.co.kr/wd/269467
[AI반도체] NPU Core Engineer (RTL),모빌린트,https://www.wanted.co.kr/wd/269291
[Altair Korea] PollEx Product Manager,알테어엔지니어링,https://www.wanted.co.kr/wd/269087
AI Kit Software 개발자,인터엑스,https://www.wanted.co.kr/wd/261491
Staff Data Analyst (Pricing & Retail),쿠팡,https://www.wanted.co.kr/wd/266147
[Technical Sales] AI/클라우드 인프라 솔루션,아이에이클라우드,https://www.wanted.co.kr/wd/264644
AI 연동 서비스 개발자,아이스크림아트,https://www.wanted.co.kr/wd/263225
Computer Vision AI Engineer_senior,파인더스에이아이,https://www.wanted.co.kr/wd/235821
웹(web) 개발자,하이(Haii),https://www.wanted.co.kr/wd/260524
Sales Manager (7~20년),에니아이(Aniai),https://www.wanted.co.kr/wd/260282
[보안AI사업본부] 백엔드 개발자,딥노이드(Deepnoid),https://www.wanted.co.kr/wd/260038
AI Biz 담당자,셀렉트스타,https://www.wanted.co.kr/wd/241005
＜PJ_Youkai＞ UI Designer,보이저,https://www.wanted.co.kr/wd/255298
Senior Backend Engineer · AI Platform,루닛(Lunit),https://www.wanted.co.kr/wd/249522
[AI반도체] SoC Design Engineer,모빌린트,https://www.wanted.co.kr/wd/101936
[Mantra株式会社] Webエンジニア／マンガ×AIスタートアップのWeb 開発リード_근무지 일본,원티드_일본 현지 채용,https://www.wanted.co.kr/wd/247451
[Mantra株式会社] 機械学習エンジニア・リサーチャー／エンタメ×AIの最先端の研究開発をリード_근무지 일본,원티드_일본 현지 채용,https://www.wanted.co.kr/wd/247448
NPI(New Product Introduction) Engineer,에니아이(Aniai),https://www.wanted.co.kr/wd/245405
Director of Medical Affairs (M.D),보로노이,https://www.wanted.co.kr/wd/233961
Senior Software Engineer (Embedded AI),토르드라이브,https://www.wanted.co.kr/wd/216427
AI 연구개발 Lead,제로원에이아이,https://www.wanted.co.kr/wd/166694
Senior QA Engineer (AI Navigation),포티투닷(42dot),https://www.wanted.co.kr/wd/241248
Sales Manager (국내),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/147494
AI Engineer,라온데이터,https://www.wanted.co.kr/wd/241585
Autonomous Robotics Ai Engineer,에스티피씨,https://www.wanted.co.kr/wd/241600
AI 엔지니어 (자연어처리/컴퓨터비전),드래프티파이,https://www.wanted.co.kr/wd/174586
채권 관리 빅데이터/AI 플랫폼 CEO 직속 비서(CEO Staff),채권도시,https://www.wanted.co.kr/wd/240523
AI 기반 채권 관리 플랫폼 전화 상담 및 운영 담당자,채권도시,https://www.wanted.co.kr/wd/240522
"Research Scientist, AI for Neuroimaging(전문연가능)",뷰노,https://www.wanted.co.kr/wd/239104
"구글클라우드 엔지니어 아키텍처 설계/기술지원(Data,AI/ML,Bigquery)",골든플래닛,https://www.wanted.co.kr/wd/236393
AI Back-End / Bigdata 엔지니어,제로원에이아이,https://www.wanted.co.kr/wd/166683
AI 금융 엔지니어,제로원에이아이,https://www.wanted.co.kr/wd/166692
Clinical Application Specialist,에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/147476
의료AI 솔루션 임상연구 및 관리,엑소시스템즈,https://www.wanted.co.kr/wd/178993
AI Research Engineer - LLM,업스테이지,https://www.wanted.co.kr/wd/226037
"AI 연구원 (MLOps, 엔지니어)",플루언트,https://www.wanted.co.kr/wd/128700
[하나금융융합기술원] AI Quant Researcher,하나금융티아이,https://www.wanted.co.kr/wd/226411
B2B 사업개발 매니저(AI솔루션),엘리스,https://www.wanted.co.kr/wd/229349
LLMOps Ops / AI 모델 개발 엔지니어,제로원에이아이,https://www.wanted.co.kr/wd/166685
AI Engineer,모플,https://www.wanted.co.kr/wd/58355
Medical AI Research Engineer(Senior),웨이센(waycenInc.),https://www.wanted.co.kr/wd/108146
생체신호 AI 엔지니어 (병역특례 / CTO 레벨 가능),엑소시스템즈,https://www.wanted.co.kr/wd/78417
AI  최적화 엔지니어,호두에이아이랩,https://www.wanted.co.kr/wd/215492
Medical AI 의료기기 해외영업 담당자,웨이센(waycenInc.),https://www.wanted.co.kr/wd/180431
AI 개발자,굳갱랩스,https://www.wanted.co.kr/wd/156373
AI/NLP R&D Engineer (3년 이상),다이얼로그디자인에이전시,https://www.wanted.co.kr/wd/186671
의료 텍스트 자연어처리(NLP) AI 연구원,테서,https://www.wanted.co.kr/wd/172533
AI기반 시뮬레이션 소프트웨어 Tech Lead,볼트윈,https://www.wanted.co.kr/wd/219919
자사 제품 개발 AI 전문가,쿼리시스템즈,https://www.wanted.co.kr/wd/199084
"[기업부설연구소] 플랫폼 개발팀장 [JAVA, SPRINGBOOT5+]",아인잡(AINJOB),https://www.wanted.co.kr/wd/140981
[신입] VISION AI 연구/개발 분야 (팀원),피노키오랩,https://www.wanted.co.kr/wd/182774
VISION AI 연구/개발 분야 (팀장),피노키오랩,https://www.wanted.co.kr/wd/173891
Sr. Backend Engineer,에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/187397
VISION AI 연구/개발 분야 (팀원),피노키오랩,https://www.wanted.co.kr/wd/175541
영업 플랫폼 시스템 개발자 (iMAP),에이아이에이생명(AIA생명),https://www.wanted.co.kr/wd/264264
[DATA&AI] AI Engineer,베이글코드(Bagelcode),https://www.wanted.co.kr/wd/267481
웹 서비스 백엔드 개발자,이스트에이드(EST AID),https://www.wanted.co.kr/wd/231273
Product Designer,베슬에이아이(VESSL AI),https://www.wanted.co.kr/wd/260145
AI Research Engineer & AI consultant,에이프리카,https://www.wanted.co.kr/wd/269302
AI 엔지니어(NLP/LLM),미니레코드,https://www.wanted.co.kr/wd/268971
AI / Backend Engineer (AI / 백엔드 엔지니어),아키스케치,https://www.wanted.co.kr/wd/269606
연구분석실 인공지능팀 (자연어처리/빅데이터분석),아일리스프런티어(ailysfrontier),https://www.wanted.co.kr/wd/269229
AI 엔지니어,슈퍼센트,https://www.wanted.co.kr/wd/268784
[인턴] GenAI Software Engineer,피에프씨테크놀로지스,https://www.wanted.co.kr/wd/269931
[AI솔루션팀] Full-stack 개발자,크라우드웍스,https://www.wanted.co.kr/wd/263637
AI 리서치 엔지니어,몬드리안에이아이,https://www.wanted.co.kr/wd/267999
"모바일 앱 개발자 (Flutter, iOS, Android)",에임(AIM),https://www.wanted.co.kr/wd/269482
AI/ML 엔지니어 (1년 이상),제이제이앤컴퍼니스,https://www.wanted.co.kr/wd/266050
[AI R&D] Front-end Engineer,세이프에이아이,https://www.wanted.co.kr/wd/266213
"AI(인공지능) VIsion, Multi modal 개발자",씨이랩,https://www.wanted.co.kr/wd/266175
[Retail Platform Team] 시니어 프론트 엔지니어,인핸스(Enhans),https://www.wanted.co.kr/wd/268624
Computer Vision AI Engineer_Junior,파인더스에이아이,https://www.wanted.co.kr/wd/235822
인공지능(AI) 개발자,누아,https://www.wanted.co.kr/wd/257537
AI 중계 플랫폼 PO/PM,픽셀스코프,https://www.wanted.co.kr/wd/255886
총무 담당자 (General Affairs),스카이랩스(SkyLabs),https://www.wanted.co.kr/wd/259998
AI Engineer (1-3년),크몽(kmong),https://www.wanted.co.kr/wd/245340
영상팀 팀장 (매니저/PD),리플에이아이(rippleAI),https://www.wanted.co.kr/wd/265231
AI 서비스 기획,다우기술,https://www.wanted.co.kr/wd/239648
인공지능 시스템 백엔드 서버 개발자 및 DevOps 엔지니어,아일리스프런티어(ailysfrontier),https://www.wanted.co.kr/wd/264200
Python기반 AI(LLM) 소프트웨어 엔지니어,비알프레임,https://www.wanted.co.kr/wd/265197
총무 리더 (팀장),인라이플,https://www.wanted.co.kr/wd/265533
Android Developer,인라이플,https://www.wanted.co.kr/wd/261051
환경 / 상황인지 AI 연구원,알지에이아이엔씨(RGA Inc.),https://www.wanted.co.kr/wd/265536
[AI 로보MD] 웹 풀스택 개발자 (JAVA/Kotlin/React),아이클레이브,https://www.wanted.co.kr/wd/254211
AI 기획자,슈퍼센트,https://www.wanted.co.kr/wd/268777
음성 개발자 (가상 인물 음성 생성),씨앤에이아이,https://www.wanted.co.kr/wd/265675
[쿠팡] 리테일 셀렉션 운영 담당자 (Retail Selection),쿠팡,https://www.wanted.co.kr/wd/266412
머신러닝 데이터 사이언티스트,아일리스,https://www.wanted.co.kr/wd/266794
[DATA&AI] Data Engineer(Back-end),베이글코드(Bagelcode),https://www.wanted.co.kr/wd/259705
AI 기술 개발,비바이노베이션,https://www.wanted.co.kr/wd/266302
AI 개발자(전문연구요원 가능),씨알에스큐브(CRScube),https://www.wanted.co.kr/wd/266232
프로덕트 매니저 (Retail),페이히어,https://www.wanted.co.kr/wd/267516
AI 모델 개발자 (신입),에이아이비즈,https://www.wanted.co.kr/wd/268332
AI 엔지니어 (2년차~7년차),에듀템,https://www.wanted.co.kr/wd/266751
BX Designer,슈퍼브에이아이(Superb AI),https://www.wanted.co.kr/wd/250954
[Healthacre BU] AI Engineer,삼양식품,https://www.wanted.co.kr/wd/261596
AI Project Manager,슈퍼브에이아이(Superb AI),https://www.wanted.co.kr/wd/265291
주니어 AI Engineer(전문연구요원 가능),이지케어텍,https://www.wanted.co.kr/wd/266676
[판교] AI돌봄로봇 서버 API 및 대시보드 개발,미스터마인드,https://www.wanted.co.kr/wd/266309
AI Project Manager,메이아이,https://www.wanted.co.kr/wd/239402
AI Engineer,블라스트,https://www.wanted.co.kr/wd/266798
AI Engineer (병특 전문연구요원가능),코코네엠(coconeM),https://www.wanted.co.kr/wd/255120
Solution Engineer,에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/187299
AI 개발자,일루니,https://www.wanted.co.kr/wd/258496
"IoT 센서 및 클라우드 HW, SW 개발 (AI/데이터 분석 포함)",에스씨솔루션글로벌,https://www.wanted.co.kr/wd/266984
AI Research Scientist,아하앤컴퍼니,https://www.wanted.co.kr/wd/264990
AI 모델 개발자(2년 이상),엑셈,https://www.wanted.co.kr/wd/264704
AI engineer (prompt engineer),도슨티,https://www.wanted.co.kr/wd/218810
AI 로보틱스 SW 품질 QA 담당자,씨메스(CMES),https://www.wanted.co.kr/wd/253419
AI Scientist (연구/개발),제네시스랩,https://www.wanted.co.kr/wd/260957
VisionAI  PM(Project Manager),포지큐브(POSICUBE),https://www.wanted.co.kr/wd/258781
[아이디어스/텀블벅/텐바이텐] 총무 담당 (Genaral Affairs) (계약직),백패커,https://www.wanted.co.kr/wd/265221
[인턴] [채널톡] AI Team Intern - NLP,채널코퍼레이션,https://www.wanted.co.kr/wd/168348
AI 엔지니어 (Stable diffusion / VITON),룩코,https://www.wanted.co.kr/wd/256995
AI 엔지니어,111퍼센트,https://www.wanted.co.kr/wd/266521
블록체인 프로덕트 및 AI 플랫폼 UX/UI 디자이너,인휴먼즈,https://www.wanted.co.kr/wd/254281
AI Engineer,플랜바이테크놀로지스,https://www.wanted.co.kr/wd/249770
AI Software Engineer,시나몬,https://www.wanted.co.kr/wd/261847
농업 플랫폼 개발자 (Flutter & AI 활용) (2~5년),모두의플래닛,https://www.wanted.co.kr/wd/268972
[인턴] AI기업 Business Research,리얼월드,https://www.wanted.co.kr/wd/264509
MLOps (AI 모델 서비스화),씨앤에이아이,https://www.wanted.co.kr/wd/265710
AI Engineer,자비스앤빌런즈(삼쩜삼),https://www.wanted.co.kr/wd/228746
[인턴] [채널톡] AI Team Intern - speech,채널코퍼레이션,https://www.wanted.co.kr/wd/269067
iPhone iOS용 AI Application 개발자,옵트에이아이,https://www.wanted.co.kr/wd/265339
[AI플랫폼팀] 백엔드 개발자,씨제이올리브영(CJ올리브영),https://www.wanted.co.kr/wd/262493
생성형 AI Python Fullstack 개발자,콘센트릭스서비스코리아CATALYST,https://www.wanted.co.kr/wd/265658
[젠틀몬스터] AI 엔지니어,아이아이컴바인드,https://www.wanted.co.kr/wd/265961
AI Business Development Manager (Junior),올거나이즈코리아(Allganize Korea),https://www.wanted.co.kr/wd/265397
Machine Learning Software Engineer (HPCNT AI),하이퍼커넥트,https://www.wanted.co.kr/wd/259915
"Software engineer (AI, Back, Fullstack)",도슨티,https://www.wanted.co.kr/wd/248953
[AI플랫폼팀]데이터사이언티스트,씨제이올리브영(CJ올리브영),https://www.wanted.co.kr/wd/262480
[AI 로보MD] 기획 및 UIUX 디자이너,아이클레이브,https://www.wanted.co.kr/wd/259074
Backend Engineer (AI Assistant Platform),포티투닷(42dot),https://www.wanted.co.kr/wd/253676
AI 교육 플랫폼 - 시니어 서비스 기획자 (재택근무 가능),캐치잇플레이(Catch it english),https://www.wanted.co.kr/wd/252507
파이썬 백엔드 개발자,에임(AIM),https://www.wanted.co.kr/wd/2447
AI Data PM (AI학습 데이터 사업관리),알체라,https://www.wanted.co.kr/wd/261570
IT LAB Team Leader,제이와이피엔터테인먼트(JYP),https://www.wanted.co.kr/wd/265966
UX/UI Designer,에임(AIM),https://www.wanted.co.kr/wd/185388
"Software Engineer(Backend, App, Devops, Data)",에임(AIM),https://www.wanted.co.kr/wd/140278
AI서비스 서버개발자,카카오페이증권(kakaopay증권),https://www.wanted.co.kr/wd/254012
AI개발 엔지니어,코가로보틱스,https://www.wanted.co.kr/wd/245139
AI 엔지니어,엘리스,https://www.wanted.co.kr/wd/198065
법률AI 용 백엔드/인프라 개발자,넥서스에이아이,https://www.wanted.co.kr/wd/239076
AI 엔지니어,지바이크(gbike),https://www.wanted.co.kr/wd/233496
인공지능 모델 개발자,에이아이리더,https://www.wanted.co.kr/wd/269311
인공지능 음성 합성(TTS) 전문가,미니레코드,https://www.wanted.co.kr/wd/268978
마케팅 담당,이쿠얼키(인공지능수학 깨봉),https://www.wanted.co.kr/wd/260766
신약개발 단백질-화합물 결합 예측  인공지능 연구원,보로노이,https://www.wanted.co.kr/wd/261663
인공지능 개발자,바이브온코퍼레이션,https://www.wanted.co.kr/wd/258938
인공지능 개발자,니어브레인,https://www.wanted.co.kr/wd/262340
신약개발 특허분석 인공지능 연구원,보로노이,https://www.wanted.co.kr/wd/258119
"[생성형 인공지능] Frontend Engineer (Senior, 전문연有)",휴멜로,https://www.wanted.co.kr/wd/225753
신약개발 LLM 인공지능 연구원,보로노이,https://www.wanted.co.kr/wd/207703
[인공지능솔루션] Project Manager,마인즈앤컴퍼니,https://www.wanted.co.kr/wd/250008
인공지능 LLM 개발 (SEC Filling),이자,https://www.wanted.co.kr/wd/255331
[인공지능 솔루션] Business Development,마인즈앤컴퍼니,https://www.wanted.co.kr/wd/151965
인공지능 엔진 개발,코너,https://www.wanted.co.kr/wd/257704
인공지능 서비스 개발,자이언트스텝,https://www.wanted.co.kr/wd/240999
[전문연구요원 가능] 인공지능 연구원 (신입),메디인테크,https://www.wanted.co.kr/wd/147486
[전문연구요원 가능] 인공지능 연구원,메디인테크,https://www.wanted.co.kr/wd/100405
인공지능 사업기획 및 개발,카이어,https://www.wanted.co.kr/wd/89325
인공지능 MLOps 플랫폼 백엔드 개발자 (자바/3년 이상),텐,https://www.wanted.co.kr/wd/266941
인공지능 연구개발,카이어,https://www.wanted.co.kr/wd/73517
의료 인공지능 웹/앱 서비스 기획자,휴런,https://www.wanted.co.kr/wd/260950
인공지능 전문가,에이치엠이스퀘어,https://www.wanted.co.kr/wd/221103
NLP/LLM 엔지니어,테스트웍스,https://www.wanted.co.kr/wd/267632
Back-end Engineer (Fulfillment Technologies),쿠팡,https://www.wanted.co.kr/wd/268549
LLM 엔지니어/연구원,데이터드리븐,https://www.wanted.co.kr/wd/263844
Machine Learning Engineer(LLM Application),엘박스,https://www.wanted.co.kr/wd/233546
Sr. LLM Project Manager (5년 이상),올거나이즈코리아(Allganize Korea),https://www.wanted.co.kr/wd/261608
머신러닝 엔지니어 (LLM),마키나락스,https://www.wanted.co.kr/wd/225016
LLM Optimization Engineer,옵트에이아이,https://www.wanted.co.kr/wd/265342
비서 (2년 이상),박스풀,https://www.wanted.co.kr/wd/258819
MLOps/LLMOps 엔지니어,큐빅,https://www.wanted.co.kr/wd/265885
ML Engineer (LLM),비비던트코리아,https://www.wanted.co.kr/wd/250559
LLM Engineer (Ambient Intelligence),포티투닷(42dot),https://www.wanted.co.kr/wd/231550
LLM Engineer (LLM 학습/튜닝/강화학습),포티투닷(42dot),https://www.wanted.co.kr/wd/224603
LLM Project Manager (Contractor),올거나이즈코리아(Allganize Korea),https://www.wanted.co.kr/wd/270564
Senior Data Engineer - LLM,업스테이지,https://www.wanted.co.kr/wd/248977
[ESTsecurity] 알약 xLLM 제품 개발,이스트소프트(ESTsoft),https://www.wanted.co.kr/wd/268946
LLM Application Engineer,아이브릭스,https://www.wanted.co.kr/wd/267299
머신러닝/딥러닝 엔지니어,아이스크림에듀,https://www.wanted.co.kr/wd/265750
LLM 개발자,씨앤에이아이,https://www.wanted.co.kr/wd/265711
[신입] 머신러닝 엔지니어 (LLM),마키나락스,https://www.wanted.co.kr/wd/264181
LLM Agent Engineer,하이퍼리즘,https://www.wanted.co.kr/wd/259857
[AX] LLM 소프트웨어 엔지니어,콕스웨이브,https://www.wanted.co.kr/wd/244312
경영지원 담당자,박스풀,https://www.wanted.co.kr/wd/258818
LLM Researcher,애자일소다,https://www.wanted.co.kr/wd/253458
